id,first_name,last_name,address,city,state,zip,phone,email,ssn
63617,James,Butt,6649 N Blue Gum St,New Orleans,LA,70116,5046218927,jbutt@gmail.com,859876596
54436,Josephine,Darakjy,4 B Blue Ridge Blvd,Brighton,MI,48116,8102929388,josephine_darakjy@darakjy.org,671526363
41669,Art,Venere,8 W Cerritos Ave #54,Bridgeport,NJ,8014,8566368749,art@venere.org,744817168
22510,Lenna,Paprocki,639 Main St,Anchorage,AK,99501,9073854412,lpaprocki@hotmail.com,388982255
28389,Donette,Foller,34 Center St,Hamilton,OH,45011,5135701893,donette.foller@cox.net,632495285
87799,Simona,Morasca,3 Mcauley Dr,Ashland,OH,44805,4195032484,simona@morasca.com,720544993
90298,Mitsue,Tollner,7 Eads St,Chicago,IL,60632,7735736914,mitsue_tollner@yahoo.com,161434180
51542,Leota,Dilliard,7 W Jackson Blvd,San Jose,CA,95111,4087523500,leota@hotmail.com,504473378
49744,Sage,Wieser,5 Boston Ave #88,Sioux Falls,SD,57105,6054142147,sage_wieser@cox.net,517051428
41780,Kris,Marrier,228 Runamuck Pl #2808,Baltimore,MD,21224,4106558723,kris@gmail.com,232615768
95521,Minna,Amigon,2371 Jerrold Ave,Kulpsville,PA,19443,2158741229,minna_amigon@yahoo.com,281078538
35830,Abel,Maclead,37275 St  Rt 17m M,Middle Island,NY,11953,6313353414,amaclead@gmail.com,651980008
82237,Kiley,Caldarera,25 E 75th St #69,Los Angeles,CA,90034,3104985651,kiley.caldarera@aol.com,778868344
65081,Graciela,Ruta,98 Connecticut Ave Nw,Chagrin Falls,OH,44023,4407808425,gruta@cox.net,605127322
13677,Cammy,Albares,56 E Morehead St,Laredo,TX,78045,9565376195,calbares@gmail.com,777746864
97023,Mattie,Poquette,73 State Road 434 E,Phoenix,AZ,85013,6022774385,mattie@aol.com,261243456
20941,Meaghan,Garufi,69734 E Carrillo St,Mc Minnville,TN,37110,9313139635,meaghan@hotmail.com,141224709
68221,Gladys,Rim,322 New Horizon Blvd,Milwaukee,WI,53207,4146619598,gladys.rim@rim.org,563684906
